system_name,logZ_ttv,logZ_ttv_err,logZ_no_ttv,logZ_no_ttv_err,delta_logZ
TIC 151483286,71133.15080613621,0.5626930541808594,71151.8131856021,0.4376491542282689,-18.66237946589536
TIC 100100827,183202.706887667,1.1368077863478305,183299.57752687574,0.5709614412444929,-96.87063920873334
